model,method,nodes,edges,runtime_ms,runtime_ms_std,cost,partition
alexnet,MinCut,21,21,1.3451666666621047,0.20043177281678395,0.2670652427390625,features_2
alexnet,ChainTopo,21,21,0.8189333333348259,0.01763657814864154,0.2670652427390625,features_2
alexnet,GreedyCut,21,21,0.937800000012127,0.0404713066960755,0.26706524273906246,features_2
densenet121,MinCut,430,965,37.09046666665472,1.1137318837377443,0.7787235880122769,features_pool0
densenet121,ChainTopo,430,965,398.32299999998594,6.213433537627692,0.7787235880122769,features_pool0
densenet121,GreedyCut,430,965,475.1013000000057,6.336939911850349,0.7787235880122769,features_pool0
googlenet,MinCut,196,223,9.727800000007392,1.1305868417230738,0.7005505000122767,maxpool1
googlenet,ChainTopo,196,223,58.11369999999746,0.8623783083277605,0.7005505000122767,maxpool1
googlenet,GreedyCut,196,223,159.47220000001985,6.214926793338299,0.7005505000122768,maxpool1
resnet101,MinCut,344,377,25.979433333342666,1.2074784120643844,1.0628209118979912,maxpool
resnet101,ChainTopo,344,377,173.78346666667235,2.538321158195548,1.0628209118979912,maxpool
resnet101,GreedyCut,344,377,211.40933333333578,3.261135636873203,1.062820911897991,maxpool
vgg19,MinCut,45,45,2.4182666666661135,0.1456300411749639,2.271163856583705,server-only
vgg19,ChainTopo,45,45,2.9253666666591016,0.023037119802753813,2.271163856583705,server-only
vgg19,GreedyCut,45,45,3.3053333333441515,0.019548458292674945,2.271163856583705,server-only
