experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,0,5.842659124841849,3.8027721991355996,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,1,6.450256133121215,4.410369207414964,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,2,5.760937764498992,3.721050838792743,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,3,6.04718998875296,4.0073030630467095,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,4,6.435711226010103,4.395824300303853,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,5,5.925217781095817,3.885330855389568,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,6,6.372620424295817,4.332733498589567,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,7,6.513808122518039,4.47392119681179,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,8,6.532508717375183,4.492621791668933,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,9,5.62140085451804,3.58151392881179,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,10,6.421984732930738,4.382097807224488,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,11,6.504405485295818,4.464518559589568,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,12,5.816414621121215,3.7765276954149645,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,13,6.0794062120005785,4.039519286294329,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,14,5.644411292308516,3.604524366602266,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,15,5.7356686633434375,3.695781737637187,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,16,6.338094707851372,4.298207782145122,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,17,6.140277394264071,4.100390468557821,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,18,6.054724120978358,4.014837195272108,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,19,5.925217781095817,3.885330855389568,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,20,5.704253195851373,3.664366270145123,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,21,6.3729141093751815,4.333027183668932,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,22,6.140277394264071,4.100390468557821,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,23,6.420284416343437,4.380397490637186,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,24,6.3388053680640715,4.298918442357821,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,25,6.532508717375183,4.492621791668933,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,26,5.669064846565659,3.6291779208594095,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,27,6.410230973184706,4.370344047478456,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,28,5.836047634984706,3.796160709278457,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,29,5.573900398708516,3.534013473002266,2.0398869257062504
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,0,51.818546313185934,18.687030501154684,33.13151581203125
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,1,75.79498586405583,26.772599766180825,49.022386097875
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,2,63.28901621131482,21.105972450736743,42.18304376057807
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,3,98.27517704396196,32.98719511874011,65.28798192522186
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,4,62.09777993089399,21.899695603393994,40.1980843275
