model,md_gflops,method,cost,latency,energy,partition
alexnet,1.0,Only-Local,4.28743296,1.42914432,2.85828864,local-only
alexnet,1.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,1.0,MinCut,0.5488395787390624,0.22257061383281249,0.32626896490624996,features_2
alexnet,1.5,Only-Local,2.85828864,0.95276288,1.90552576,local-only
alexnet,1.5,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,1.5,MinCut,0.4079524107390625,0.17560822449947916,0.23234418623958333,features_2
alexnet,2.0,Only-Local,2.14371648,0.71457216,1.42914432,local-only
alexnet,2.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,2.0,MinCut,0.33750882673906246,0.15212702983281248,0.18538179690624998,features_2
alexnet,3.0,Only-Local,1.42914432,0.47638144,0.95276288,local-only
alexnet,3.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,3.0,MinCut,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2
alexnet,4.0,Only-Local,1.07185824,0.35728608,0.71457216,local-only
alexnet,4.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,4.0,MinCut,0.23184345073906248,0.11690523783281251,0.11493821290624999,features_2
alexnet,5.0,Only-Local,0.8574865920000002,0.28582886400000007,0.5716577280000001,local-only
alexnet,5.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,5.0,MinCut,0.2107103755390625,0.1098608794328125,0.10084949610624999,features_2
alexnet,6.0,Only-Local,0.71457216,0.23819072,0.47638144,local-only
alexnet,6.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,6.0,MinCut,0.19662165873906248,0.10516464049947916,0.09145701823958333,features_2
vgg19,1.0,Only-Local,117.84621311999999,39.28207104,78.56414208,local-only
vgg19,1.0,Only-Server,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,1.0,MinCut,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,1.5,Only-Local,78.56414208000001,26.188047360000002,52.376094720000005,local-only
vgg19,1.5,Only-Server,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,1.5,MinCut,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,2.0,Only-Local,58.923106559999994,19.64103552,39.28207104,local-only
vgg19,2.0,Only-Server,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,2.0,MinCut,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,3.0,Only-Local,39.282071040000005,13.094023680000001,26.188047360000002,local-only
vgg19,3.0,Only-Server,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,3.0,MinCut,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,4.0,Only-Local,29.461553279999997,9.82051776,19.64103552,local-only
vgg19,4.0,Only-Server,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,4.0,MinCut,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,5.0,Only-Local,23.569242623999994,7.856414207999998,15.712828415999995,local-only
vgg19,5.0,Only-Server,2.271163856583705,1.6969451065837051,0.57421875,server-only
vgg19,5.0,MinCut,2.271163856583705,1.6969451065837051,0.57421875,server-only
