experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat_count,total_cost,total_cost_std,total_latency,total_latency_std,total_energy,total_energy_std
main_comparison,mixed5,1.0,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
main_comparison,mixed5,1.0,1.0,4.0,Only-Server,1,7.725546440823289,0.0,4.854452690823289,0.0,2.87109375,0.0
main_comparison,mixed5,1.0,1.0,4.0,MinCut+BMatch,1,5.561558950975183,0.0,3.521672025268933,0.0,2.0398869257062504,0.0
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,30,6.105373406764494,0.3213401860303984,4.065486481058245,0.32134018603039827,2.0398869257062504,0.0
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,30,66.52444772932598,22.14878892380253,23.229709066798183,7.033045355158047,43.2947386625278,15.162267176090985
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Only-Server,1,59.405233940823294,0.0,30.69429644082329,0.0,28.7109375,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+BMatch,1,25.875746653023842,0.0,13.029567295880986,0.0,12.846179357142857,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,30,26.330341312077387,0.29570478475441936,13.48416195493453,0.2957047847544196,12.846179357142857,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,30,98.44917722897131,13.91412109371569,38.35013409829414,6.095846865473295,60.099043130677174,9.616317426688326
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Only-Server,1,30.69429644082329,0.0,16.338827690823287,0.0,14.35546875,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+BMatch,1,15.105015982225183,0.0,8.293400540893932,0.0,6.81161544133125,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,30,15.533736808251637,0.28038040419895977,8.722121366920387,0.2803804041989599,6.81161544133125,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,30,78.37159005744199,14.86927941805539,29.498043024084605,3.7060675769375764,48.87354703335738,11.439496008491233
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Only-Server,1,13.46773394082329,0.0,7.725546440823289,0.0,5.7421875,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+BMatch,1,7.947423208787683,0.0,4.714604154175182,0.0,3.2328190546125,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,30,8.314541543883767,0.2680370320132468,5.081722489271267,0.26803703201324675,3.2328190546125,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Rpartition+RMatch,30,63.36876809709191,19.323138763249396,23.087085898301503,5.968451375423473,40.281682198790406,13.433595541174833
bandwidth_sensitivity,mixed5,1,1.0,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,Only-Server,1,7.725546440823289,0.0,4.854452690823289,0.0,2.87109375,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,MinCut+BMatch,1,5.561558950975183,0.0,3.521672025268933,0.0,2.0398869257062504,0.0
