model,method,nodes,edges,runtime_ms,runtime_ms_std,cost,partition
alexnet,MinCut,21,21,0.7109333333232826,0.050075498550648544,0.2670652427390625,features_2
alexnet,ChainTopo,21,21,0.8213999999876856,0.011083621559182251,0.2670652427390625,features_2
alexnet,GreedyCut,21,21,1.0323333333606872,0.13035761921580244,0.2670652427390625,features_2
densenet121,MinCut,430,965,34.3812000000033,1.3925060670058318,0.7787235880122769,features_pool0
densenet121,ChainTopo,430,965,429.1922333333484,10.44657212878373,0.7787235880122769,features_pool0
densenet121,GreedyCut,430,965,481.11490000000384,13.361549871919362,0.7787235880122771,features_pool0
googlenet,MinCut,196,223,8.999833333329358,0.5422443750161354,0.7005505000122767,maxpool1
googlenet,ChainTopo,196,223,57.175299999983054,1.8543335424582588,0.7005505000122767,maxpool1
googlenet,GreedyCut,196,223,155.30836666668316,2.647743406915615,0.7005505000122767,maxpool1
resnet101,MinCut,344,377,26.874866666654878,0.101858409349383,1.0628209118979914,maxpool
resnet101,ChainTopo,344,377,167.246733333324,5.77796343378357,1.0628209118979914,maxpool
resnet101,GreedyCut,344,377,218.00663333332673,12.896624158873193,1.062820911897991,maxpool
vgg19,MinCut,45,45,1.4594333333282823,0.2797236890506027,2.271163856583706,server-only
vgg19,ChainTopo,45,45,3.1932333333202223,0.3667198234373414,2.271163856583706,server-only
vgg19,GreedyCut,45,45,3.544466666672482,0.08113303207898685,2.271163856583706,server-only
