model,bandwidth_mb_s,method,cost,latency,energy,partition
alexnet,0.05,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,0.05,Only-Server,23.009964164583707,11.525589164583705,11.484375,server-only
alexnet,0.05,MinCut,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,0.1,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,0.1,Only-Server,11.525589164583705,5.783401664583705,5.7421875,server-only
alexnet,0.1,MinCut,1.0679685630515627,0.5290974953223959,0.5388710677291667,features_2
alexnet,0.2,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,0.2,Only-Server,5.783401664583705,2.9123079145837054,2.87109375,server-only
alexnet,0.2,MinCut,0.6230222739890625,0.30662435079114586,0.31639792319791665,features_2
alexnet,0.5,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,0.5,Only-Server,2.3380891645837054,1.1896516645837054,1.1484375,server-only
alexnet,0.5,MinCut,0.3560545005515625,0.17314046407239583,0.18291403647916665,features_2
alexnet,1,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,1,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,1,MinCut,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2
alexnet,2,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,2,Only-Server,0.6154329145837054,0.32832353958370536,0.287109375,server-only
alexnet,2,MinCut,0.2225706138328125,0.10639852071302083,0.11617209311979167,features_2
alexnet,3,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,3,Only-Server,0.42402666458370536,0.23262041458370536,0.19140625,server-only
alexnet,3,MinCut,0.2077390708640625,0.09898274922864583,0.10875632163541667,features_2
alexnet,5,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,5,Only-Server,0.27090166458370535,0.15605791458370535,0.11484375,server-only
alexnet,5,MinCut,0.1958738364890625,0.09305013204114584,0.10282370444791666,features_2
vgg19,0.05,Only-Local,39.28207104,13.09402368,26.18804736,local-only
vgg19,0.05,Only-Server,24.091476356583705,12.607101356583705,11.484375,server-only
vgg19,0.05,MinCut,24.091476356583705,12.607101356583705,11.484375,server-only
vgg19,0.1,Only-Local,39.28207104,13.09402368,26.18804736,local-only
vgg19,0.1,Only-Server,12.607101356583705,6.864913856583706,5.7421875,server-only
vgg19,0.1,MinCut,12.607101356583705,6.864913856583706,5.7421875,server-only
vgg19,0.2,Only-Local,39.28207104,13.09402368,26.18804736,local-only
vgg19,0.2,Only-Server,6.864913856583706,3.993820106583706,2.87109375,server-only
vgg19,0.2,MinCut,6.864913856583706,3.993820106583706,2.87109375,server-only
vgg19,0.5,Only-Local,39.28207104,13.09402368,26.18804736,local-only
vgg19,0.5,Only-Server,3.419601356583706,2.271163856583706,1.1484375,server-only
vgg19,0.5,MinCut,3.419601356583706,2.271163856583706,1.1484375,server-only
vgg19,1,Only-Local,39.28207104,13.09402368,26.18804736,local-only
vgg19,1,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
