model,method,cost,latency,energy
alexnet,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999
alexnet,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875
alexnet,MinCut,0.2670652427390625,0.12864583516614583,0.13841940757291665
vgg19,Only-Local,39.28207104,13.09402368,26.18804736
vgg19,Only-Server,2.271163856583706,1.6969451065837058,0.57421875
vgg19,MinCut,2.271163856583706,1.6969451065837058,0.57421875
googlenet,Only-Local,3.007466528,1.0024888426666667,2.0049776853333334
googlenet,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875
googlenet,MinCut,0.7005505000122767,0.35032048467894344,0.3502300153333333
densenet121,Only-Local,5.716228864000005,1.9054096213333351,3.8108192426666703
densenet121,Only-Server,1.312139794412277,0.737921044412277,0.57421875
densenet121,MinCut,0.7787235880122769,0.427958362012277,0.350765226
resnet101,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014
resnet101,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875
resnet101,MinCut,1.0628209118979914,0.7120556858979914,0.350765226
