model,md_gflops,method,cost,latency,energy,partition
alexnet,1.0,Only-Local,4.287432960000001,1.4291443200000005,2.858288640000001,local-only
alexnet,1.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,1.0,MinCut,0.5488395787390624,0.22257061383281249,0.32626896490624996,features_2
alexnet,1.5,Only-Local,2.8582886399999996,0.9527628799999999,1.9055257599999997,local-only
alexnet,1.5,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,1.5,MinCut,0.4079524107390625,0.17560822449947916,0.23234418623958333,features_2
alexnet,2.0,Only-Local,2.1437164800000006,0.7145721600000002,1.4291443200000005,local-only
alexnet,2.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,2.0,MinCut,0.33750882673906246,0.1521270298328125,0.18538179690624998,features_2
alexnet,3.0,Only-Local,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only
alexnet,3.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,3.0,MinCut,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2
alexnet,4.0,Only-Local,1.0718582400000003,0.3572860800000001,0.7145721600000002,local-only
alexnet,4.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,4.0,MinCut,0.23184345073906248,0.11690523783281251,0.11493821290624999,features_2
alexnet,5.0,Only-Local,0.8574865919999999,0.28582886399999996,0.5716577279999999,local-only
alexnet,5.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,5.0,MinCut,0.2107103755390625,0.1098608794328125,0.10084949610624999,features_2
alexnet,6.0,Only-Local,0.7145721599999999,0.23819071999999997,0.47638143999999993,local-only
alexnet,6.0,Only-Server,1.1896516645837054,0.6154329145837054,0.57421875,server-only
alexnet,6.0,MinCut,0.1966216587390625,0.10516464049947917,0.09145701823958333,features_2
vgg19,1.0,Only-Local,117.84621311999997,39.28207103999999,78.56414207999998,local-only
vgg19,1.0,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,1.0,MinCut,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,1.5,Only-Local,78.56414208,26.18804736,52.37609472,local-only
vgg19,1.5,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,1.5,MinCut,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,2.0,Only-Local,58.92310655999999,19.641035519999996,39.28207103999999,local-only
vgg19,2.0,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,2.0,MinCut,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,3.0,Only-Local,39.28207104,13.09402368,26.18804736,local-only
vgg19,3.0,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,3.0,MinCut,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,4.0,Only-Local,29.461553279999993,9.820517759999998,19.641035519999996,local-only
vgg19,4.0,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,4.0,MinCut,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,5.0,Only-Local,23.569242623999983,7.856414207999995,15.71282841599999,local-only
vgg19,5.0,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,5.0,MinCut,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,6.0,Only-Local,19.64103552,6.54701184,13.09402368,local-only
vgg19,6.0,Only-Server,2.271163856583706,1.6969451065837058,0.57421875,server-only
vgg19,6.0,MinCut,2.271163856583706,1.6969451065837058,0.57421875,server-only
googlenet,1.0,Only-Local,9.022399583999999,3.0074665279999997,6.014933055999999,local-only
googlenet,1.0,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875,server-only
googlenet,1.0,MinCut,1.1770217960122769,0.5091442500122768,0.667877546,maxpool1
googlenet,1.5,Only-Local,6.014933056,2.0049776853333334,4.009955370666667,local-only
googlenet,1.5,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875,server-only
googlenet,1.5,MinCut,0.9387861480122768,0.4297323673456101,0.5090537806666666,maxpool1
googlenet,2.0,Only-Local,4.511199791999999,1.5037332639999998,3.0074665279999997,local-only
googlenet,2.0,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875,server-only
googlenet,2.0,MinCut,0.8196683240122768,0.39002642601227683,0.429641898,maxpool1
googlenet,3.0,Only-Local,3.007466528,1.0024888426666667,2.0049776853333334,local-only
googlenet,3.0,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875,server-only
googlenet,3.0,MinCut,0.7005505000122767,0.35032048467894344,0.3502300153333333,maxpool1
googlenet,4.0,Only-Local,2.2555998959999997,0.7518666319999999,1.5037332639999998,local-only
googlenet,4.0,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875,server-only
googlenet,4.0,MinCut,0.6409915880122768,0.3304675140122768,0.31052407400000004,maxpool1
googlenet,5.0,Only-Local,1.8044799168000005,0.6014933056000001,1.2029866112000003,local-only
googlenet,5.0,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875,server-only
googlenet,5.0,MinCut,0.6052562408122768,0.3185557316122768,0.2867005092,maxpool1
googlenet,6.0,Only-Local,1.503733264,0.5012444213333334,1.0024888426666667,local-only
googlenet,6.0,Only-Server,1.2347465848122767,0.6605278348122767,0.57421875,server-only
googlenet,6.0,MinCut,0.5814326760122768,0.3106145433456101,0.27081813266666666,maxpool1
