experiment,scenario,model,method,nodes,edges,runtime_ms,runtime_ms_std,cost,latency,energy,partition,transmitted_node_count
single_pair_partition,standard_pair,alexnet,Only-Local,21,21,0.05660000000003625,0.01384124271825308,1.4291443199999998,0.47638143999999993,0.9527628799999999,local-only,0
single_pair_partition,standard_pair,alexnet,Only-Server,21,21,0.051899999999586534,0.003073543015231316,1.1896516645837054,0.6154329145837054,0.57421875,server-only,1
single_pair_partition,standard_pair,alexnet,ChainTopo,21,21,1.1272666666671445,0.14852798464308936,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2,1
single_pair_partition,standard_pair,alexnet,GreedyCut,21,21,0.9754666666671833,0.044469789995482865,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2,1
single_pair_partition,standard_pair,alexnet,MinCut,21,21,0.846199999999205,0.21433358735082014,0.2670652427390625,0.12864583516614583,0.13841940757291665,features_2,1
single_pair_partition,standard_pair,vgg19,Only-Local,45,45,0.07886666666697313,0.018638371411780274,39.28207104,13.09402368,26.18804736,local-only,0
single_pair_partition,standard_pair,vgg19,Only-Server,45,45,0.06250000000029843,0.004572380852964151,2.271163856583706,1.6969451065837058,0.57421875,server-only,1
single_pair_partition,standard_pair,vgg19,ChainTopo,45,45,4.198666666666758,0.49441797657079367,2.271163856583706,1.6969451065837058,0.57421875,server-only,1
single_pair_partition,standard_pair,vgg19,GreedyCut,45,45,4.033833333333921,0.4222799729511348,2.271163856583706,1.6969451065837058,0.57421875,server-only,1
single_pair_partition,standard_pair,vgg19,MinCut,45,45,1.6606666666666807,0.11694127681181245,2.271163856583706,1.6969451065837058,0.57421875,server-only,1
single_pair_partition,standard_pair,googlenet,Only-Local,196,223,0.32153333333380846,0.05879967875968281,3.007466528,1.0024888426666667,2.0049776853333334,local-only,0
single_pair_partition,standard_pair,googlenet,Only-Server,196,223,0.2254666666671549,0.02616120962137049,1.2347465848122767,0.6605278348122767,0.57421875,server-only,1
single_pair_partition,standard_pair,googlenet,ChainTopo,196,223,62.944399999999824,2.3613822576335823,0.7005505000122767,0.35032048467894344,0.3502300153333333,maxpool1,1
single_pair_partition,standard_pair,googlenet,GreedyCut,196,223,153.39699999999942,4.616676887834762,0.7005505000122767,0.35032048467894344,0.3502300153333333,maxpool1,1
single_pair_partition,standard_pair,googlenet,MinCut,196,223,9.664900000000642,0.7967022195687856,0.7005505000122767,0.35032048467894344,0.3502300153333333,maxpool1,1
single_pair_partition,standard_pair,densenet121,Only-Local,430,965,0.7322666666643348,0.059269797442796444,5.716228864000005,1.9054096213333351,3.8108192426666703,local-only,0
single_pair_partition,standard_pair,densenet121,Only-Server,430,965,0.6813666666639998,0.19145015597903767,1.312139794412277,0.737921044412277,0.57421875,server-only,1
single_pair_partition,standard_pair,densenet121,ChainTopo,430,965,407.78723333332795,7.398362403188953,0.7787235880122769,0.427958362012277,0.350765226,features_pool0,1
single_pair_partition,standard_pair,densenet121,GreedyCut,430,965,520.2006333333363,12.70250205125214,0.7787235880122771,0.4279583620122771,0.350765226,features_pool0,1
single_pair_partition,standard_pair,densenet121,MinCut,430,965,63.56396666666816,45.221608578891846,0.7787235880122769,0.427958362012277,0.350765226,features_pool0,1
single_pair_partition,standard_pair,resnet101,Only-Local,344,377,0.6071000000057817,0.12395582547626066,15.659635200000022,5.219878400000007,10.439756800000014,local-only,0
single_pair_partition,standard_pair,resnet101,Only-Server,344,377,0.327533333328726,0.010122691776372456,1.5962371182979913,1.0220183682979913,0.57421875,server-only,1
single_pair_partition,standard_pair,resnet101,ChainTopo,344,377,165.0678333333341,7.604881229572657,1.0628209118979914,0.7120556858979914,0.350765226,maxpool,1
single_pair_partition,standard_pair,resnet101,GreedyCut,344,377,207.44946666667374,0.3352971352224976,1.062820911897991,0.712055685897991,0.350765226,maxpool,1
single_pair_partition,standard_pair,resnet101,MinCut,344,377,25.741866666673257,2.0202946754289846,1.0628209118979914,0.7120556858979914,0.350765226,maxpool,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,Only-Local,196,223,0.5184333333166554,0.1567676908281202,9.022399583999999,3.0074665279999997,6.014933055999999,local-only,0
single_pair_topology_stress,googlenet_pair_stress,googlenet,Only-Server,196,223,0.29270000002649493,0.08956829797194363,23.570624775326564,12.086249775326563,11.484375,server-only,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,ChainTopo,196,223,72.39096666666,7.826930256212887,8.925184589726562,4.620588293726562,4.304596296,maxpool1,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,GreedyCut,196,223,172.2881666666846,13.016749247102407,8.925184589726562,4.620588293726562,4.304596296,maxpool1,1
single_pair_topology_stress,googlenet_pair_stress,googlenet,MinCut,196,223,69.30806666665983,1.7195395359365777,8.412309731076563,3.423027229201563,4.989282501875,"inception4a_branch1_conv,inception4a_branch2_0_conv,inception4a_branch3_0_conv,inception4a_branch4_1_conv",4
