experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat_count,total_cost,total_cost_std,total_latency,total_latency_std,total_energy,total_energy_std
main_comparison,mixed5,1.0,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
main_comparison,mixed5,1.0,1.0,4.0,Only-Server,1,7.725546440823289,0.0,4.854452690823289,0.0,2.87109375,0.0
main_comparison,mixed5,1.0,1.0,4.0,MinCut+BMatch,1,5.561558950975183,0.0,3.5216720252689324,0.0,2.0398869257062504,0.0
main_comparison,mixed5,1.0,1.0,4.0,MinCut+RMatch,1,5.84265912484185,0.0,3.8027721991356,0.0,2.0398869257062504,0.0
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,1,51.81854631318595,0.0,18.687030501154684,0.0,33.13151581203125,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Only-Server,1,59.405233940823294,0.0,30.69429644082329,0.0,28.7109375,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+BMatch,1,25.875746653023846,0.0,13.029567295880987,0.0,12.846179357142859,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,1,26.036377869023845,0.0,13.190198511880988,0.0,12.846179357142859,0.0
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,Rpartition+RMatch,1,100.03780323684487,0.0,35.98995144030739,0.0,64.04785179653749,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Only-Server,1,30.694296440823287,0.0,16.33882769082329,0.0,14.35546875,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+BMatch,1,15.105015982225183,0.0,8.293400540893932,0.0,6.81161544133125,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,1,15.142291556434706,0.0,8.330676115103456,0.0,6.81161544133125,0.0
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,1,101.31323890565844,0.0,34.979407358839715,0.0,66.33383154681871,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Only-Server,1,13.46773394082329,0.0,7.725546440823289,0.0,5.7421875,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+BMatch,1,7.947423208787683,0.0,4.714604154175182,0.0,3.2328190546125,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,MinCut+RMatch,1,8.209398107501968,0.0,4.976579052889468,0.0,3.2328190546125,0.0
bandwidth_sensitivity,mixed5,0.5,1.0,4.0,Rpartition+RMatch,1,85.04686114814737,0.0,29.882319126809854,0.0,55.16454202133751,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,Only-Server,1,7.725546440823289,0.0,4.854452690823289,0.0,2.87109375,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,MinCut+BMatch,1,5.561558950975183,0.0,3.5216720252689324,0.0,2.0398869257062504,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,MinCut+RMatch,1,5.598834525184707,0.0,3.558947599478456,0.0,2.0398869257062504,0.0
bandwidth_sensitivity,mixed5,1,1.0,4.0,Rpartition+RMatch,1,53.30762558912682,0.0,18.604976694651825,0.0,34.702648894475004,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,Only-Server,1,4.854452690823289,0.0,3.4189058158232886,0.0,1.435546875,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,MinCut+BMatch,1,4.221072730068933,0.0,2.974683122815807,0.0,1.246389607253125,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,MinCut+RMatch,1,5.023318883580042,0.0,3.7769292763269178,0.0,1.246389607253125,0.0
bandwidth_sensitivity,mixed5,2,1.0,4.0,Rpartition+RMatch,1,86.70156963652434,0.0,29.440870080908745,0.0,57.2606995556156,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,Only-Server,1,3.8974214408232886,0.0,2.9403901908232886,0.0,0.95703125,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,MinCut+BMatch,1,3.6118776304941216,0.0,2.7395464253920387,0.0,0.8723312051020833,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,MinCut+RMatch,1,4.461972500703645,0.0,3.5896412956015613,0.0,0.8723312051020833,0.0
bandwidth_sensitivity,mixed5,3,1.0,4.0,Rpartition+RMatch,1,86.33261883979021,0.0,29.623079567854806,0.0,56.709539271935405,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,Only-Server,1,3.4189058158232886,0.0,2.7011323783232886,0.0,0.7177734375,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,MinCut+BMatch,1,3.231531697676413,0.0,2.596878781649851,0.0,0.6346529160265625,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,MinCut+RMatch,1,4.180164505854191,0.0,3.5455115898276284,0.0,0.6346529160265625,0.0
bandwidth_sensitivity,mixed5,4,1.0,4.0,Rpartition+RMatch,1,82.79705086021829,0.0,28.764157376979227,0.0,54.03289348323906,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,Only-Local,1,108.73390990898702,0.0,35.64031191584416,0.0,73.09359799314285,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,Only-Server,1,3.1317964408232886,0.0,2.5575776908232877,0.0,0.57421875,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,MinCut+BMatch,1,2.9973947347857886,0.0,2.479810300204538,0.0,0.51758443458125,0.0
bandwidth_sensitivity,mixed5,5,1.0,4.0,MinCut+RMatch,1,3.7766415017413446,0.0,3.2590570671600947,0.0,0.51758443458125,0.0
