model,method,nodes,edges,runtime_ms,runtime_ms_std,cost,partition
alexnet,MinCut,21,21,0.6103000000052816,0.05867554856670412,0.2670652427390625,features_2
alexnet,ChainTopo,21,21,0.7461999999994381,0.024783193233902705,0.2670652427390625,features_2
alexnet,GreedyCut,21,21,0.8040666666696931,0.012102433175523059,0.2670652427390625,features_2
densenet121,MinCut,430,965,26.13973333332827,0.4205579019495719,0.7787235880122769,features_pool0
densenet121,ChainTopo,430,965,412.4272333333465,11.803727814932653,0.7787235880122769,features_pool0
densenet121,GreedyCut,430,965,467.62999999999505,91.79426415309088,0.7787235880122769,features_pool0
googlenet,MinCut,196,223,7.673699999998007,0.19975905486154238,0.7005505000122768,maxpool1
googlenet,ChainTopo,196,223,47.81739999999483,0.5023236871318121,0.7005505000122768,maxpool1
googlenet,GreedyCut,196,223,131.3840333333379,12.91041468693987,0.7005505000122768,maxpool1
resnet101,MinCut,344,377,21.517466666656066,1.0279489621960338,1.062820911897991,maxpool
resnet101,ChainTopo,344,377,134.6700333333312,0.4181003574420952,1.062820911897991,maxpool
resnet101,GreedyCut,344,377,170.4370666666648,2.016307143164414,1.062820911897991,maxpool
tiny_yolov2,MinCut,30,30,2.100499999992659,0.4149938875019877,1.4146597150022044,features_7
tiny_yolov2,ChainTopo,30,30,1.34813333333265,0.025980804895682663,1.4146597150022044,features_7
tiny_yolov2,GreedyCut,30,30,1.549166666658645,0.09799089526929135,1.4146597150022044,features_7
