experiment,scenario,method,md,active_slots,partition_switches,server_switches,policy_switches,policy_switch_rate
online_extension,online_bandwidth_trace,Online Only-Local,0,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Local,1,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Local,2,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Local,3,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Local,4,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Server,0,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Server,1,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Server,2,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Server,3,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online Only-Server,4,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Static MinCut+BMatch,0,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Static MinCut+BMatch,1,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Static MinCut+BMatch,2,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Static MinCut+BMatch,3,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Static MinCut+BMatch,4,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online MinCut+BMatch,0,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online MinCut+BMatch,1,9,2,0,2,0.25
online_extension,online_bandwidth_trace,Online MinCut+BMatch,2,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online MinCut+BMatch,3,9,0,0,0,0.0
online_extension,online_bandwidth_trace,Online MinCut+BMatch,4,9,0,0,0,0.0
online_extension,online_burst_load,Online Only-Local,0,6,0,0,0,0.0
online_extension,online_burst_load,Online Only-Local,1,6,0,0,0,0.0
online_extension,online_burst_load,Online Only-Local,2,9,0,0,0,0.0
online_extension,online_burst_load,Online Only-Local,3,6,0,0,0,0.0
online_extension,online_burst_load,Online Only-Local,4,6,0,0,0,0.0
online_extension,online_burst_load,Online Only-Server,0,6,0,1,1,0.2
online_extension,online_burst_load,Online Only-Server,1,6,0,1,1,0.2
online_extension,online_burst_load,Online Only-Server,2,9,0,2,2,0.25
online_extension,online_burst_load,Online Only-Server,3,6,0,1,1,0.2
online_extension,online_burst_load,Online Only-Server,4,6,0,2,2,0.4
online_extension,online_burst_load,Static MinCut+BMatch,0,6,0,1,1,0.2
online_extension,online_burst_load,Static MinCut+BMatch,1,6,0,1,1,0.2
online_extension,online_burst_load,Static MinCut+BMatch,2,9,0,2,2,0.25
online_extension,online_burst_load,Static MinCut+BMatch,3,6,0,1,1,0.2
online_extension,online_burst_load,Static MinCut+BMatch,4,6,0,0,0,0.0
online_extension,online_burst_load,Online MinCut+BMatch,0,6,0,1,1,0.2
online_extension,online_burst_load,Online MinCut+BMatch,1,6,0,1,1,0.2
online_extension,online_burst_load,Online MinCut+BMatch,2,9,0,2,2,0.25
online_extension,online_burst_load,Online MinCut+BMatch,3,6,0,1,1,0.2
online_extension,online_burst_load,Online MinCut+BMatch,4,6,0,2,2,0.4
online_extension,online_composite_nonstationary,Online Only-Local,0,6,0,0,0,0.0
online_extension,online_composite_nonstationary,Online Only-Local,1,9,0,0,0,0.0
online_extension,online_composite_nonstationary,Online Only-Local,2,9,0,0,0,0.0
online_extension,online_composite_nonstationary,Online Only-Local,3,6,0,0,0,0.0
online_extension,online_composite_nonstationary,Online Only-Local,4,6,0,0,0,0.0
online_extension,online_composite_nonstationary,Online Only-Server,0,6,0,1,1,0.2
online_extension,online_composite_nonstationary,Online Only-Server,1,9,0,3,3,0.375
online_extension,online_composite_nonstationary,Online Only-Server,2,9,0,3,3,0.375
online_extension,online_composite_nonstationary,Online Only-Server,3,6,0,3,3,0.6
online_extension,online_composite_nonstationary,Online Only-Server,4,6,0,2,2,0.4
online_extension,online_composite_nonstationary,Static MinCut+BMatch,0,6,0,1,1,0.2
online_extension,online_composite_nonstationary,Static MinCut+BMatch,1,9,0,1,1,0.125
online_extension,online_composite_nonstationary,Static MinCut+BMatch,2,9,0,1,1,0.125
online_extension,online_composite_nonstationary,Static MinCut+BMatch,3,6,0,0,0,0.0
online_extension,online_composite_nonstationary,Static MinCut+BMatch,4,6,0,0,0,0.0
online_extension,online_composite_nonstationary,Online MinCut+BMatch,0,6,0,1,1,0.2
online_extension,online_composite_nonstationary,Online MinCut+BMatch,1,9,2,3,4,0.5
online_extension,online_composite_nonstationary,Online MinCut+BMatch,2,9,0,3,3,0.375
online_extension,online_composite_nonstationary,Online MinCut+BMatch,3,6,0,3,3,0.6
online_extension,online_composite_nonstationary,Online MinCut+BMatch,4,6,0,2,2,0.4
