model,method,cost,latency,energy
alexnet,Only-Local,1.42914432,0.47638144,0.95276288
alexnet,Only-Server,1.1896516645837054,0.6154329145837053,0.57421875
alexnet,MinCut,0.2670652427390625,0.12864583516614583,0.13841940757291665
tiny_yolov2,Only-Local,6.991116287999997,2.330372095999999,4.660744191999998
tiny_yolov2,Only-Server,4.1687422276307755,2.1882734776307755,1.98046875
tiny_yolov2,MinCut,1.4146597150022044,0.7093961820022043,0.705263533
googlenet,Only-Local,3.0074665280000015,1.0024888426666672,2.0049776853333343
googlenet,Only-Server,1.2347465848122767,0.6605278348122768,0.57421875
googlenet,MinCut,0.7005505000122768,0.3503204846789435,0.3502300153333333
densenet121,Only-Local,5.716228864000003,1.9054096213333342,3.8108192426666685
densenet121,Only-Server,1.312139794412277,0.7379210444122769,0.57421875
densenet121,MinCut,0.7787235880122769,0.42795836201227694,0.350765226
resnet101,Only-Local,15.659635200000032,5.2198784000000105,10.439756800000021
resnet101,Only-Server,1.596237118297991,1.022018368297991,0.57421875
resnet101,MinCut,1.062820911897991,0.7120556858979911,0.350765226
