model,bandwidth_mb_s,md_gflops,gain,mincut_cost,endpoint_cost,best_endpoint,partition
alexnet,0.5,1.0,0.7272008073032034,0.6378288365515624,2.3380891645837054,Only-Server,features_2
alexnet,1.0,1.0,0.5386552256612714,0.5488395787390624,1.1896516645837054,Only-Server,features_2
alexnet,2.0,1.0,0.18050377566503042,0.5043449498328124,0.6154329145837054,Only-Server,features_2
alexnet,3.0,1.0,0.0,0.42402666458370536,0.42402666458370536,Only-Server,server-only
alexnet,4.0,1.0,0.0,0.32832353958370536,0.32832353958370536,Only-Server,server-only
alexnet,5.0,1.0,0.0,0.27090166458370535,0.27090166458370535,Only-Server,server-only
alexnet,0.5,1.5,0.787458204725891,0.49694166855156247,2.3380891645837054,Only-Server,features_2
alexnet,1.0,1.5,0.6570824696977016,0.4079524107390625,1.1896516645837054,Only-Server,features_2
alexnet,2.0,1.5,0.40942745631558447,0.3634577818328125,0.6154329145837054,Only-Server,features_2
alexnet,3.0,1.5,0.17782000996014805,0.3486262388640625,0.42402666458370536,Only-Server,features_2
alexnet,4.0,1.5,0.0,0.32832353958370536,0.32832353958370536,Only-Server,server-only
alexnet,5.0,1.5,0.0,0.27090166458370535,0.27090166458370535,Only-Server,server-only
alexnet,0.5,2.0,0.8010473453319898,0.42649808455156246,2.1437164800000006,Only-Local,features_2
alexnet,1.0,2.0,0.7162960917159168,0.33750882673906246,1.1896516645837054,Only-Server,features_2
alexnet,2.0,2.0,0.5238892966408617,0.29301419783281246,0.6154329145837054,Only-Server,features_2
alexnet,3.0,2.0,0.34395009064542553,0.27818265486406246,0.42402666458370536,Only-Server,features_2
alexnet,4.0,2.0,0.17530468962717782,0.27076688337968746,0.32832353958370536,Only-Server,features_2
alexnet,5.0,2.0,0.016922170270483473,0.2663174204890625,0.27090166458370535,Only-Server,features_2
alexnet,0.5,3.0,0.750861760027453,0.3560545005515625,1.4291443199999998,Only-Local,features_2
alexnet,1.0,3.0,0.7755097137341319,0.2670652427390625,1.1896516645837054,Only-Server,features_2
alexnet,2.0,3.0,0.6383511369661388,0.2225706138328125,0.6154329145837054,Only-Server,features_2
alexnet,3.0,3.0,0.5100801713307027,0.2077390708640625,0.42402666458370536,Only-Server,features_2
alexnet,4.0,3.0,0.3898600763329809,0.2003232993796875,0.32832353958370536,Only-Server,features_2
alexnet,5.0,3.0,0.2769559508242156,0.1958738364890625,0.27090166458370535,Only-Server,features_2
alexnet,0.5,4.0,0.7006761747229163,0.32083270855156254,1.0718582400000003,Only-Local,features_2
alexnet,1.0,4.0,0.7836995209935015,0.23184345073906248,1.0718582400000003,Only-Local,features_2
alexnet,2.0,4.0,0.6955820571287773,0.18734882183281248,0.6154329145837054,Only-Server,features_2
alexnet,3.0,4.0,0.5931452116733414,0.17251727886406248,0.42402666458370536,Only-Server,features_2
alexnet,4.0,4.0,0.4971377696858826,0.16510150737968748,0.32832353958370536,Only-Server,features_2
alexnet,5.0,4.0,0.4069728411010818,0.16065204448906248,0.27090166458370535,Only-Server,features_2
alexnet,0.5,5.0,0.6504905894183795,0.29969963335156247,0.8574865919999999,Only-Local,features_2
alexnet,1.0,5.0,0.754269772256611,0.2107103755390625,0.8574865919999999,Only-Local,features_2
alexnet,2.0,5.0,0.7299206092263605,0.1662157466328125,0.6154329145837054,Only-Server,features_2
alexnet,3.0,5.0,0.6429842358789246,0.1513842036640625,0.42402666458370536,Only-Server,features_2
alexnet,4.0,5.0,0.5615043856976235,0.1439684321796875,0.32832353958370536,Only-Server,features_2
alexnet,5.0,5.0,0.4849829752672014,0.1395189692890625,0.27090166458370535,Only-Server,features_2
alexnet,0.5,6.0,0.6003050041138428,0.28561091655156245,0.7145721599999999,Only-Local,features_2
alexnet,1.0,6.0,0.7248400235197205,0.19662165873906248,0.7145721599999999,Only-Local,features_2
alexnet,2.0,6.0,0.7528129772914159,0.15212702983281248,0.6154329145837054,Only-Server,features_2
alexnet,3.0,6.0,0.6762102520159801,0.13729548686406248,0.42402666458370536,Only-Server,features_2
alexnet,4.0,6.0,0.6044154630387842,0.12987971537968748,0.32832353958370536,Only-Server,features_2
alexnet,5.0,6.0,0.5369897313779478,0.1254302524890625,0.27090166458370535,Only-Server,features_2
tiny_yolov2,0.5,1.0,0.6063347762489426,3.2003721890022048,8.129679727630776,Only-Server,features_7
tiny_yolov2,1.0,1.0,0.5199504364181586,2.001202887059347,4.1687422276307755,Only-Server,features_3
tiny_yolov2,2.0,1.0,0.38716680032548473,1.341046637059347,2.1882734776307755,Only-Server,features_3
tiny_yolov2,3.0,1.0,0.2664211007790111,1.1209945537260138,1.5281172276307757,Only-Server,features_3
tiny_yolov2,4.0,1.0,0.1561473161941377,1.010968512059347,1.1980391026307757,Only-Server,features_3
tiny_yolov2,5.0,1.0,0.055039768360830285,0.9449528870593471,0.9999922276307757,Only-Server,features_3
tiny_yolov2,0.5,1.5,0.6755599032963534,2.6375940770022046,8.129679727630776,Only-Server,features_7
tiny_yolov2,1.0,1.5,0.5581421765897463,1.841991367059347,4.1687422276307755,Only-Server,features_3
tiny_yolov2,2.0,1.5,0.4599234834491941,1.181835117059347,2.1882734776307755,Only-Server,features_3
tiny_yolov2,3.0,1.5,0.370609128452022,0.9617830337260138,1.5281172276307757,Only-Server,features_3
tiny_yolov2,4.0,1.5,0.2890407415008636,0.8517569920593471,1.1980391026307757,Only-Server,features_3
tiny_yolov2,5.0,1.5,0.21425252582116655,0.785741367059347,0.9999922276307757,Only-Server,features_3
tiny_yolov2,0.5,2.0,0.7187708116502449,2.2863032313450615,8.129679727630776,Only-Server,features_11
tiny_yolov2,1.0,2.0,0.5931509605557642,1.6960487710022045,4.1687422276307755,Only-Server,features_7
tiny_yolov2,2.0,2.0,0.4963018250110488,1.102229357059347,2.1882734776307755,Only-Server,features_3
tiny_yolov2,3.0,2.0,0.4227031422885275,0.8821772737260137,1.5281172276307757,Only-Server,features_3
tiny_yolov2,4.0,2.0,0.35548745415422656,0.7721512320593471,1.1980391026307757,Only-Server,features_3
tiny_yolov2,5.0,2.0,0.2938589045513346,0.7061356070593471,0.9999922276307757,Only-Server,features_3
tiny_yolov2,0.5,3.0,0.7419092749977352,1.8043422713450616,6.991116287999999,Only-Local,features_11
tiny_yolov2,1.0,3.0,0.6606507100329398,1.4146597150022044,4.1687422276307755,Only-Server,features_7
tiny_yolov2,2.0,3.0,0.5326801665729035,1.0226235970593471,2.1882734776307755,Only-Server,features_3
tiny_yolov2,3.0,3.0,0.474797156125033,0.8025715137260138,1.5281172276307757,Only-Server,features_3
tiny_yolov2,4.0,3.0,0.42193416680758955,0.6925454720593471,1.1980391026307757,Only-Server,features_3
tiny_yolov2,5.0,3.0,0.3734652832815028,0.626529847059347,0.9999922276307757,Only-Server,features_3
tiny_yolov2,0.5,4.0,0.7097637868409189,1.5218063378879187,5.243337215999999,Only-Local,features_15
tiny_yolov2,1.0,4.0,0.704159288580917,1.2332836663450615,4.1687422276307755,Only-Server,features_11
